Date,Total confirmed cases China
21-01-2020,278
22-01-2020,309
23-01-2020,571
24-01-2020,830
25-01-2020,1297
26-01-2020,1985
27-01-2020,2741
28-01-2020,4537
29-01-2020,5997
30-01-2020,7736
31-01-2020,9720
01/02/2020,11821
02/02/2020,14411
03/02/2020,17238
04/02/2020,20471
05/02/2020,24363
06/02/2020,28060
07/02/2020,31211
08/02/2020,34598
09/02/2020,37251
10/02/2020,40235
11/02/2020,42708
12/02/2020,44730
13/02/2020,46550
14/02/2020,48548
15/02/2020,50054
16/02/2020,51174
17/02/2020,70635
18/02/2020,72528
19/02/2020,74280
20/02/2020,74675
21/02/2020,75569
22/02/2020,76392
23/02/2020,77042
24/02/2020,77262
25/02/2020,77780
26/02/2020,78191
27/02/2020,78630
28/02/2020,78961
29/02/2020,79394
01/03/2020,79968
02/03/2020,80174
03/03/2020,80304
04/03/2020,80422
05/03/2020,80565
06/03/2020,80711
07/03/2020,80813
08/03/2020,80859
09/03/2020,80904
10/03/2020,80924
11/03/2020,80955
12/03/2020,80981
13/03/2020,80991
14/03/2020,81021
15/03/2020,81048
16/03/2020,81077
17/03/2020,81116
18/03/2020,81116
19/03/2020,81174
20/03/2020,81300
21/03/2020,81416
22/03/2020,81498
23/03/2020,81601
